O_station_name,D_station_name,Distance,discharge coefficient,Standardized distance coefficient
B,BD,20.76,5.613031393304689e-05,0.1656294877932025
B,BE,14.04,0.0036161805901506,0.1120153183341311
B,BF,13.81,0.0053737116120797,0.1101803095580022
B,BG,17.63,0.0003350235824353,0.1406574118397957
B,BH,2.72,0.1322741119607692,0.0217009733524812
B,BI,14.63,0.0016097412051899,0.1167225147598532
B,BJ,21.48,0.0006499051449524,0.1713738630923887
B,BK,7.06,0.0065840370205781,0.0563267911281314
B,BL,9.37,0.0129294555934397,0.0747566618796872
B,BM,16.47,0.0001284101369034,0.1314025849688846
B,BN,9.48,0.0135595969809179,0.0756342747726184
B,BO,14.96,0.0014397400188008,0.1193553534386468
B,BP,4.16,0.0712732182389258,0.0331897239508536
B,BQ,8.26,0.0902738611992963,0.0659007499601085
B,BR,28.17,0.0001978466213613,0.2247486835806606
B,BS,15.66,0.0011301994515682,0.1249401627573001
B,BT,9.69,0.0104779523812313,0.0773097175682144
B,BU,64.52,5.600962662060142e-06,0.5147598531992978
B,BV,8.33,0.0075241797399231,0.0664592308919738
B,BW,10.49,0.0026783200163445,0.0836923567895324
B,BX,17.04,0.000395275176328,0.1359502154140737
B,BY,10.71,0.0044150848278066,0.0854475825753949
B,BZ,31.4,3.300968338528496e-05,0.250518589436732
B,CA,3.52,0.2376130719705937,0.0280836125737992
B,CB,30.09,2.992941341405421e-06,0.2400670177118238
B,CC,12.01,0.0011254564654697,0.0958193713100366
B,CD,30.25,0.0001406647997632,0.2413435455560874
B,CE,11.5,0.0063483437959462,0.0917504388064464
B,CF,10.49,0.0009883696028134,0.0836923567895324
B,CG,15.79,0.0001301981843668,0.1259773416307643
B,CH,8.09,0.0175744038448446,0.0645444391255784
B,CI,11.24,0.0013148771926919,0.0896760810595181
B,CJ,33.64,3.75900259649473e-05,0.2683899792564225
B,CK,18.77,0.0026478972312128,0.1497526727301739
B,CL,22.48,0.0006055473086649,0.1793521621190362
B,CM,17.19,0.0072568857742773,0.1371469602680708
B,CN,6.39,0.0114632177495701,0.0509813307802776
B,CO,6.02,0.0060052728331732,0.048029360140418
B,CP,8.36,0.0020493175327786,0.0666985798627732
B,CQ,7.83,0.0190072406392057,0.06247008137865
B,CR,16.38,0.0002717490027185,0.1306845380564863
B,CS,5.23,0.0494355930571651,0.0417265039093665
B,CT,7.23,0.0032281273826612,0.0576831019626615
B,CU,7.23,0.0433534591484731,0.0576831019626615
B,CV,20.96,0.0016300812734781,0.167225147598532
B,CW,54.41,1.7029243300101168e-05,0.4340992500398914
B,CX,28.1,8.579657468032741e-07,0.2241902026487952
B,CY,43.94,0.0003752841240095,0.3505664592308919
B,CZ,28.01,0.0007488600804238,0.223472155736397
B,DA,21.58,0.0015369127379268,0.1721716929950534
B,DB,3.69,0.0459148458034565,0.0294399234083293
B,DC,17.9,0.0023131851193696,0.1428115525769905
B,DD,11.32,0.0007077652234935,0.0903143449816499
B,DE,16.02,0.0011671953950179,0.1278123504068932
B,DF,7.32,0.0044346373140558,0.0584011488750598
B,DG,40.5,0.0001072995150214,0.3231211105792245
B,DH,19.28,0.0010455098910597,0.1538216052337641
B,DI,9.2,0.004273134070278,0.0734003510451571
B,DJ,19.38,0.0017393358865469,0.1546194351364289
B,DK,19.72,0.0017472363620678,0.157332056805489
B,DL,15.38,0.0019849765196771,0.1227062390298388
B,DM,11.7,0.0048905688544532,0.0933460986117759
B,DN,8.57,0.0102040887964991,0.0683740226583692
B,DO,8.68,0.0096091595023371,0.0692516355513004
B,DP,14.42,0.0019937647885095,0.1150470719642572
B,DQ,7.14,0.0074500403715407,0.0569650550502632
B,DR,9.03,0.0121722094457437,0.072044040210627
B,DS,21.42,4.2081238813608224e-05,0.1708951651507898
B,DT,23.61,0.0009102746176021,0.1883676400191479
B,DU,10.18,0.0019355348474779,0.0812190840912717
B,DV,15.43,0.0037757916646657,0.1231051539811712
B,DW,4.05,0.1631348440490101,0.0323121110579224
B,DX,43.0,8.831567645423954e-05,0.3430668581458433
B,DY,13.68,0.0013940075215154,0.109143130684538
B,DZ,12.64,0.0035382873321089,0.1008456996968246
B,EA,16.8,0.0006512791517069,0.1340354236476783
B,EB,47.81,3.288554371470161e-05,0.3814424764640178
B,EC,17.56,0.0001592837870764,0.1400989309079304
